Date,Open,High,Low,Close,Volume
1-Sep-17,941.13,942.48,935.15,937.34,947374
31-Aug-17,931.76,941.98,931.76,939.33,1582579
30-Aug-17,920.05,930.82,919.65,929.57,1301225
29-Aug-17,905.10,923.33,905.00,921.29,1185564
28-Aug-17,916.00,919.24,911.87,913.81,1086484
25-Aug-17,923.49,925.56,915.50,915.89,1053376
24-Aug-17,928.66,930.84,915.50,921.28,1270306
23-Aug-17,921.93,929.93,919.36,927.00,1090248
22-Aug-17,912.72,925.86,911.48,924.69,1166737
21-Aug-17,910.00,913.00,903.40,906.66,943441
18-Aug-17,910.31,915.28,907.15,910.67,1342689
17-Aug-17,925.78,926.86,910.98,910.98,1277238
16-Aug-17,925.29,932.70,923.44,926.96,1006711
15-Aug-17,924.23,926.55,919.82,922.22,883369
14-Aug-17,922.53,924.67,918.19,922.67,1064530
11-Aug-17,907.97,917.78,905.58,914.39,1206782
10-Aug-17,917.55,919.26,906.13,907.24,1823967
9-Aug-17,920.61,925.98,917.25,922.90,1192081
8-Aug-17,927.09,935.81,925.61,926.79,1061579
7-Aug-17,929.06,931.70,926.50,929.36,1032239
4-Aug-17,926.75,930.31,923.03,927.96,1082267
3-Aug-17,930.34,932.24,922.24,923.65,1202512
2-Aug-17,928.61,932.60,916.68,930.39,1824448
1-Aug-17,932.38,937.45,929.26,930.83,1277734
31-Jul-17,941.89,943.59,926.04,930.50,1970095
28-Jul-17,929.40,943.83,927.50,941.53,1846351
27-Jul-17,951.78,951.78,920.00,934.09,3212996
26-Jul-17,954.68,955.00,942.28,947.80,2088256
25-Jul-17,953.81,959.70,945.40,950.70,4660979
24-Jul-17,972.22,986.20,970.77,980.34,3248347
21-Jul-17,962.25,973.23,960.15,972.92,1711000
20-Jul-17,975.00,975.90,961.51,968.15,1624463
19-Jul-17,967.84,973.04,964.03,970.89,1224540
18-Jul-17,953.00,968.04,950.60,965.40,1153964
17-Jul-17,957.00,960.74,949.24,953.42,1165537
14-Jul-17,952.00,956.91,948.00,955.99,1053774
13-Jul-17,946.29,954.45,943.01,947.16,1294687
12-Jul-17,938.68,946.30,934.47,943.83,1532144
11-Jul-17,929.54,931.43,922.00,930.09,1113235
10-Jul-17,921.77,930.38,919.59,928.80,1192825
7-Jul-17,908.85,921.54,908.85,918.59,1637785
6-Jul-17,904.12,914.94,899.70,906.69,1424503
5-Jul-17,901.76,914.51,898.50,911.71,1813884
3-Jul-17,912.18,913.94,894.79,898.70,1710373
30-Jun-17,926.05,926.05,908.31,908.73,2090226
29-Jun-17,929.92,931.26,910.62,917.79,3299176
28-Jun-17,929.00,942.75,916.00,940.49,2721406
27-Jun-17,942.46,948.29,926.85,927.33,2579930
26-Jun-17,969.90,973.31,950.79,952.27,1598355
23-Jun-17,956.83,966.00,954.20,965.59,1527856
22-Jun-17,958.70,960.72,954.55,957.09,941958
21-Jun-17,953.64,960.10,950.76,959.45,1202233
20-Jun-17,957.52,961.62,950.01,950.63,1125990
19-Jun-17,949.96,959.99,949.05,957.37,1533336
16-Jun-17,940.00,942.04,931.60,939.78,3094711
15-Jun-17,933.97,943.34,924.44,942.31,2133050
14-Jun-17,959.92,961.15,942.25,950.76,1489715
13-Jun-17,951.91,959.98,944.09,953.40,2013337
12-Jun-17,939.56,949.36,915.23,942.90,3763529
9-Jun-17,984.50,984.50,935.63,949.83,3309389
8-Jun-17,982.35,984.57,977.20,983.41,1481916
7-Jun-17,979.65,984.15,975.77,981.08,1453874
6-Jun-17,983.16,988.25,975.14,976.57,1814624
5-Jun-17,976.55,986.91,975.10,983.68,1252106
2-Jun-17,969.46,975.88,966.00,975.60,1750955
1-Jun-17,968.95,971.50,960.01,966.95,1410458
31-May-17,975.02,979.27,960.18,964.86,2448067
30-May-17,970.31,976.20,969.49,975.88,1466654
26-May-17,969.70,974.98,965.03,971.47,1252010
25-May-17,957.33,972.63,955.47,969.54,1660474
24-May-17,952.98,955.09,949.50,954.96,1034199
23-May-17,947.92,951.47,942.58,948.82,1270817
22-May-17,935.00,941.88,935.00,941.86,1120385
19-May-17,931.47,937.76,931.00,934.01,1393024
18-May-17,921.00,933.17,918.75,930.24,1596897
17-May-17,935.67,939.33,918.14,919.62,2362072
16-May-17,940.00,943.11,937.58,943.00,969479
15-May-17,932.95,938.25,929.34,937.08,1108496
12-May-17,931.53,933.44,927.85,932.22,1050601
11-May-17,925.32,932.53,923.03,930.60,835386
10-May-17,931.98,932.00,925.16,928.78,1173925
9-May-17,936.95,937.50,929.53,932.17,1581809
8-May-17,926.12,936.92,925.26,934.30,1329825
5-May-17,933.54,934.90,925.20,927.13,1911275
4-May-17,926.07,935.93,924.59,931.66,1422144
